Var_Name,Corn,Soybean,Sorghum,Rice,Rye
default_Area,1000,1000,1000,1000,1000
default_Yield,176.7,51,81.78472222,76.94,1.214058801
default_Diesel_Gal,7.221682554,3.684211791,4.301708333,17.2790751,0.483145193
default_Gasoline_Gal,1.275964906,0.931190144,0.344541667,2.180210868,
default_NaturalGas_Gal,86.15404599,9.154423434,0.7261875,119.7082719,
default_LPG_Ft3,2.133721663,0.397453374,0,0.450239963,
default_Electricity_kWh,68.66462715,21.94232749,0.908979167,278.9992014,
default_Ammonia_Lbs,47.83013652,1.839544216,26.02459967,53.18617519,
default_Urea_Lbs,35.48687548,1.364823128,19.30857395,39.46071062,
default_AmmoniumNitrate_Lbs,3.085815259,0.118680272,1.679006431,3.431366141,
default_AmmoniumSulfate_Lbs,3.085815259,0.118680272,1.679006431,3.431366141,
default_UAN_Lbs,49.37304415,1.898884352,26.86410289,54.90185826,
default_MAP_Lbs,6.171630519,0.237360544,3.358012861,6.862732282,
default_DAP_Lbs,9.257445778,0.356040816,5.037019292,10.29409842,
default_MAP_P2O5_Lbs_N,25.92086323,11.68891302,9.239372444,20.23840354,
default_DAP_P2O5_Lbs_N,25.92086323,11.68891302,9.239372444,20.23840354,
default_K2O_Lbs_N,53.83009032,39.20654946,4.750529283,39.54420972,
default_CaCO3_Lbs_N,573.0310878,0,0,0,
default_Herbicide_g_Acre,1353.240156,1079.253542,1692.20772,1372.217385,612.3496995
default_Insecticide_g_Acre,6.49211707,16.38174492,0,6.445793651,